gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
SKTGIJFO_CDS_0723	40700	41467	+	LN610576.1	-13319.44	817	66.0	0.241	9.091e-14	817	165.342407	2.2828323039418246e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	817	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0724	41491	41832	+	LN610576.1	-283.7477	349	46.0	0.284	6.253e-08	349	86.333473	2.9072237905051934e-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	349	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0725	41833	42714	+	LN610576.1	-156281.1	196	165.0	0.324	2.6419999999999998e-45	196	274.058746	4.368691904101222e-81	No_custom_HMM	No_custom_HMM	No_custom_HMM	196	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate hub	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0726	42663	43469	+	LN610576.1	-2175.125	11	100.0	0.276	3.5729999999999996e-24	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	11	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate spike	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0727	43476	43841	+	LN610576.1	-110.2167	4233	68.0	0.367	3.274e-14	120	96.677719	4.3514312981499616e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	4233	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0728	43842	45308	+	LN610576.1	-19634950.0	6	94.0	0.214	5.909e-21	6	187.579941	7.563383810154651e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	6	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0729	45310	46074	+	LN610576.1	-15511.36	587	138.0	0.343	1.7409999999999999e-37	587	244.416061	4.3907564882487547e-72	No_custom_HMM	No_custom_HMM	No_custom_HMM	587	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0730	46085	48148	+	LN610576.1	-6499.231	2282	231.0	0.476	6.277999999999999e-66	2282	559.621643	1.8928528165049426e-167	No_custom_HMM	No_custom_HMM	No_custom_HMM	2282	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0731	48193	48567	+	LN610576.1	-41.64864	4628	200.0	0.78	5.466e-61	4628	193.696289	2.3536794583703727e-57	No_custom_HMM	No_custom_HMM	No_custom_HMM	4628	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail fiber assembly	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0732	48577	50070	+	LN610576.1	-48952.88	2282	557.0	0.584	1.38e-177	2282	556.706055	1.4468872119205205e-166	No_custom_HMM	No_custom_HMM	No_custom_HMM	2282	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0733	50956	50048	-	LN610576.1	-1030.37	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0734	50879	51295	+	LN610576.1	-63.6145	4349	147.0	0.542	3.928e-42	4349	180.718933	2.929892479473506e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	4349	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0735	51324	51464	+	LN610576.1	-0.5944471	5388	72.0	0.784	5.119e-18	5388	87.634537	7.129611385426598e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	5388	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0736	51445	51744	+	LN610576.1	-58.52292	4172	141.0	0.704	5.250999999999999e-41	4172	148.734467	7.092252083404971e-44	No_custom_HMM	No_custom_HMM	No_custom_HMM	4172	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0737	51760	52047	+	LN610576.1	-54.79385	3899	122.0	0.639	1.562e-34	3899	136.851669	5.826952001639872e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	3899	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0738	52156	52575	+	LN610576.1	-461.6248	12496	293.0	0.991	4.78e-93	12496	321.419861	8.827608694340535e-97	No_custom_HMM	No_custom_HMM	No_custom_HMM	12496	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0739	52599	52811	+	LN610576.1	-25.14543	12190	122.0	0.829	4.3950000000000003e-35	12190	159.288559	4.1496676708658027e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	12190	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0740	52958	53716	+	LN610576.1	-57625.39	968	117.0	0.275	1.684e-28	968	217.546844	5.558905024773359e-64	No_custom_HMM	No_custom_HMM	No_custom_HMM	968	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	RNA ligase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0741	53726	53911	+	LN610576.1	-29.10805	13122	134.0	1.0	1.589e-39	13122	163.84787	1.402396310153562e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	13122	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0742	53952	54347	+	LN610576.1	-200.2567	13021	279.0	1.0	2.0459999999999998e-88	13021	300.519592	2.314089009705456e-90	No_custom_HMM	No_custom_HMM	No_custom_HMM	13021	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0743	54349	54870	+	LN610576.1	-555.0852	12927	359.0	0.979	2.908e-115	12927	392.494934	5.360680597105847e-118	No_custom_HMM	No_custom_HMM	No_custom_HMM	12927	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0744	54870	55136	+	LN610576.1	-33.48006	11998	180.0	0.959	9.592e-55	11998	204.946365	2.5781369396359237e-61	No_custom_HMM	No_custom_HMM	No_custom_HMM	11998	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0745	55239	57137	+	LN610576.1	-3575444000.0	239	245.0	0.322	7.952e-70	239	584.310608	1.291348425937951e-174	No_custom_HMM	No_custom_HMM	No_custom_HMM	239	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA primase/helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0746	57158	59815	+	LN610576.1	-260334400000000.0	16667	235.0	0.535	5.357e-71	17	382.807129	8.825018695657984e-114	No_custom_HMM	No_custom_HMM	No_custom_HMM	16667	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA polymerase I	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0747	59832	60038	+	LN610576.1	-21.11576	12101	148.0	1.0	4.778999999999999e-44	12101	173.012054	1.8889499595942144e-51	No_custom_HMM	No_custom_HMM	No_custom_HMM	12101	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0748	60185	60370	+	LN610576.1	-42.06134	12310	123.0	0.939	2.135e-35	12310	159.135178	4.146674142008217e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	12310	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0749	60438	61331	+	LN610576.1	-4310.855	2544	162.0	0.306	1.483e-43	2544	254.338364	4.721926906693391e-75	No_custom_HMM	No_custom_HMM	No_custom_HMM	2544	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0750	61390	61584	+	LN610576.1	-40.64483	7018	100.0	0.747	2.4169999999999998e-27	7018	114.988297	2.447258373501589e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	7018	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0751	61585	61860	+	LN610576.1	-32.57828	12381	188.0	0.971	1.0580000000000001e-57	12381	200.191986	8.464267913747513e-60	No_custom_HMM	No_custom_HMM	No_custom_HMM	12381	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0752	61872	62138	+	LN610576.1	-61.77363	7029	106.0	0.592	5.63e-29	7029	128.841385	1.5898964591016124e-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	7029	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0753	62138	63226	+	LN610576.1	-1438213.0	107	116.0	0.274	3.631e-29	107	204.964447	5.567846973437098e-60	No_custom_HMM	No_custom_HMM	No_custom_HMM	107	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0754	63214	63375	+	LN610576.1	-4.760051	519	41.0	0.407	9.563e-07	519	55.707008	1.405165252785543e-14	No_custom_HMM	No_custom_HMM	No_custom_HMM	519	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0755	63375	63548	+	LN610576.1	-23.2996	12564	126.0	1.0	7.31e-37	12564	142.211151	7.80280178736328e-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	12564	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0756	63545	64108	+	LN610576.1	-878.1042	1985	215.0	0.574	2.148e-64	1985	253.151993	3.196857574789771e-75	No_custom_HMM	No_custom_HMM	No_custom_HMM	1985	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0757	64105	64320	+	LN610576.1	-45.76482	12267	158.0	1.0	1.481e-47	12267	183.182419	1.572789292461264e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	12267	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0758	64330	65247	+	LN610576.1	-182162.5	403	285.0	0.563	1.28e-87	403	353.412567	1.7886357294814476e-105	No_custom_HMM	No_custom_HMM	No_custom_HMM	403	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0759	65301	65525	+	LN610576.1	-47.69397	12364	153.0	0.967	1.055e-45	12364	178.71167	3.6403999809061774e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	12364	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0760	65588	65935	+	LN610576.1	-157.0205	4521	120.0	0.624	7.975000000000001e-34	4521	159.45285	3.428042884870627e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	4521	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0761	65939	66838	+	LN610576.1	-68495.01	85	98.0	0.253	1.4309999999999998e-22	85	377.333405	3.938166235638348e-112	No_custom_HMM	No_custom_HMM	No_custom_HMM	85	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	thymidylate synthase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0762	66842	67216	+	LN610576.1	-9.780429	3506	126.0	0.533	2.3800000000000002e-35	3506	157.525238	1.981909350384097e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	3506	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	thymidylate synthase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0763	67209	69065	+	LN610576.1	-1528625000.0	84	462.0	0.443	1.4640000000000002e-143	84	516.501465	2.929351164153245e-154	No_custom_HMM	No_custom_HMM	No_custom_HMM	84	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0764	69075	69440	+	LN610576.1	-296.0267	11821	265.0	1.0	1.09e-83	11821	284.711487	1.0381422703497173e-85	No_custom_HMM	No_custom_HMM	No_custom_HMM	11821	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0765	69492	69596	+	LN610576.1	-0.08456708	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0766	69566	70501	+	LN610576.1	-114682.8	86	135.0	0.289	1.052e-34	86	214.047028	7.008684952777145e-63	No_custom_HMM	No_custom_HMM	No_custom_HMM	86	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0767	70562	71044	+	LN610576.1	-3975.95	1106	69.0	0.315	7.278e-15	1106	143.176407	2.1220761914270391e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	1106	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	unknown function	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0768	71034	71297	+	LN610576.1	-9.087901	12627	185.0	0.996	1.09e-56	12627	208.189438	2.566732309743725e-62	No_custom_HMM	No_custom_HMM	No_custom_HMM	12627	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0769	71290	71520	+	LN610576.1	-11.42818	2251	51.0	0.412	4.1e-10	2251	75.381325	6.578125298632572e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	2251	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0770	71522	71755	+	LN610576.1	-5.684228	10949	145.0	0.867	1.0980000000000001e-42	10949	152.595703	6.038750140146566e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	10949	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0771	71807	72361	+	LN610576.1	-500.338	11258	340.0	0.884	1.46e-108	11258	394.428284	1.2415016818800014e-118	No_custom_HMM	No_custom_HMM	No_custom_HMM	11258	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0772	72342	72515	+	LN610576.1	-8.989885	7860	89.0	0.746	8.942e-24	7860	114.164734	3.3234331969456735e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	7860	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0773	72525	72845	+	LN610576.1	-94.02053	12479	216.0	0.957	7.434e-67	12479	237.90892	2.583795416374226e-71	No_custom_HMM	No_custom_HMM	No_custom_HMM	12479	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0774	72845	73012	+	LN610576.1	-9.236713	12962	128.0	1.0	1.856e-37	12962	152.553238	4.002526357407556e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	12962	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0775	73065	73562	+	LN610576.1	-698.0313	11943	343.0	0.98	6.494e-110	11943	381.936371	5.446049159418958e-115	No_custom_HMM	No_custom_HMM	No_custom_HMM	11943	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0776	73559	74038	+	LN610576.1	-252.8181	12731	323.0	0.958	6.531999999999999e-103	12731	360.65799	1.6203579758743083e-108	No_custom_HMM	No_custom_HMM	No_custom_HMM	12731	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0777	74074	74169	+	LN610576.1	-0.06505489	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0778	74210	74422	+	LN610576.1	-2.407433	11927	143.0	0.971	1.7220000000000003e-42	11927	176.836761	1.0745876885284685e-52	No_custom_HMM	No_custom_HMM	No_custom_HMM	11927	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0779	74406	74564	+	LN610576.1	-0.2283629	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0780	74659	74859	+	LN610576.1	-1.57037	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0781	74936	75235	+	LN610576.1	-20.07113	5201	166.0	0.912	4.7240000000000005e-50	5201	178.823318	2.8747123655001796e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	5201	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0782	75252	75395	+	LN610576.1	-32.7761	6353	99.0	0.974	1.9e-27	6353	102.197243	3.171597457328429e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	6353	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0783	75395	75628	+	LN610576.1	-20.20783	5289	159.0	0.966	1.0629999999999999e-47	5289	167.752747	8.604492963066235e-50	No_custom_HMM	No_custom_HMM	No_custom_HMM	5289	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0784	75681	76121	+	LN610576.1	-98.63542	8130	46.0	0.349	5.802e-08	8130	49.24155	7.755125867039593e-13	No_custom_HMM	No_custom_HMM	No_custom_HMM	8130	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0785	76215	76418	+	LN610576.1	-9.927221	13123	142.0	0.989	3.8250000000000003e-42	13123	160.711609	1.285723953864874e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	13123	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0786	76494	77042	+	LN610576.1	-1759.095	12189	346.0	0.905	1.604e-110	12189	398.564575	6.274494106765066e-120	No_custom_HMM	No_custom_HMM	No_custom_HMM	12189	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0787	78223	76934	-	LN610576.1	-32627.31	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0788	78216	78350	+	LN610576.1	-3.805817	13320	96.0	1.0	2.0550000000000002e-26	13320	118.674637	1.669484446625332e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	13320	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0789	78335	78727	+	LN610576.1	-3.962748	12567	256.0	0.938	2.4099999999999998e-80	12567	290.43689	2.543286175717063e-87	No_custom_HMM	No_custom_HMM	No_custom_HMM	12567	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0790	78816	79079	+	LN610576.1	-32.59645	13058	170.0	0.922	1.809e-51	13058	197.660782	5.177316403097944e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	13058	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0791	79079	79315	+	LN610576.1	-15.54517	4025	88.0	0.57	6.341e-23	4025	105.756889	2.579443858717991e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	4025	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
